moisture,nitrogen,phosphorus,potassium,soil_type,crop
38,37,0,0,Sandy,Maize
45,12,36,0,Loamy,Sugarcane
62,7,30,9,Black,Cotton
34,22,20,0,Red,Tobacco
46,35,0,0,Clayey,Paddy
35,12,13,10,Sandy,Barley
64,9,10,0,Red,Cotton
50,41,0,0,Loamy,Wheat
42,21,18,0,Sandy,Millets
33,9,30,7,Black,Oil seeds
28,13,40,0,Clayey,Pulses
48,14,12,15,Sandy,Maize
65,36,0,0,Loamy,Cotton
41,24,22,0,Clayey,Paddy
31,14,41,0,Red,Ground Nuts
49,10,14,13,Black,Sugarcane
34,38,0,0,Clayey,Pulses
39,21,19,0,Sandy,Barley
65,39,0,0,Black,Cotton
52,13,36,0,Loamy,Wheat
44,10,9,0,Sandy,Millets
53,12,12,14,Loamy,Sugarcane
33,11,37,0,Red,Tobacco
37,36,0,0,Black,Millets
39,13,10,0,Clayey,Paddy
44,23,20,0,Sandy,Maize
63,9,29,9,Red,Cotton
30,38,0,0,Loamy,Sugarcane
32,12,39,0,Black,Oil seeds
36,14,13,0,Clayey,Pulses
40,24,23,0,Red,Ground Nuts
27,12,40,0,Loamy,Sugarcane
38,39,0,0,Clayey,Paddy
38,7,30,9,Sandy,Barley
48,23,19,0,Loamy,Wheat
35,41,0,0,Black,Millets
61,8,31,10,Loamy,Cotton
37,12,41,0,Clayey,Paddy
26,15,11,14,Red,Ground Nuts
34,15,37,0,Sandy,Millets
30,13,13,0,Clayey,Pulses
58,10,32,7,Loamy,Sugarcane
34,22,24,0,Red,Tobacco
60,35,0,0,Black,Sugarcane
42,10,35,0,Sandy,Barley
48,8,28,8,Loamy,Wheat
32,12,8,0,Black,Oil seeds
43,24,18,0,Clayey,Paddy
29,41,0,0,Red,Ground Nuts
51,5,29,9,Sandy,Maize
31,23,21,0,Red,Tobacco
33,13,14,0,Black,Oil seeds
38,40,0,0,Clayey,Pulses
47,12,42,0,Sandy,Barley
63,11,15,12,Red,Cotton
43,23,24,0,Black,Millets
54,38,0,0,Loamy,Wheat
37,8,15,0,Sandy,Millets
56,11,15,13,Loamy,Sugarcane
34,15,37,0,Red,Ground Nuts
41,36,0,0,Clayey,Paddy
49,13,9,0,Loamy,Wheat
64,24,20,0,Black,Cotton
47,5,15,18,Sandy,Barley
35,37,0,0,Black,Oil seeds
62,15,40,0,Red,Cotton
57,9,13,0,Black,Sugarcane
55,8,33,8,Loamy,Sugarcane
40,6,16,19,Clayey,Pulses
38,10,14,0,Sandy,Millets
39,21,23,0,Clayey,Pulses
32,39,0,0,Red,Tobacco
48,23,19,0,Loamy,Wheat
34,42,0,0,Black,Oil seeds
31,13,39,0,Red,Ground Nuts
42,9,22,10,Clayey,Paddy
